"absolute src","font-bold","font-medium","font-medium 2","font-medium 3","flex","flex 2","flex 3","list-inside","font-semibold","font-semibold 2","font-semibold 3","text-tiers-gold-500","text-tiers-diamond-500","font-semibold 4","list-inside 2","font-semibold 5","font-semibold 7","text-tiers-gold-500 2","text-tiers-diamond-500 2","font-semibold 8","grid","text-lg","font-semibold 10","font-semibold 11","grid 2","text-lg 2","font-semibold 14","grid 3","text-lg 3","grid 4","text-lg 4","font-semibold 17","grid 5","text-lg 5","font-semibold 20","grid 6","text-lg 6","font-semibold 23","grid 7","text-lg 7","font-semibold 26","font-semibold 27","grid 8","text-lg 8","font-semibold 30","grid 9","text-lg 9","grid 10","text-lg 10","font-semibold 34","grid 11","text-lg 11","font-semibold 38","grid 12","text-lg 12","font-semibold 41","h-full src","list-inside 3","text-blue-600","text-blue-600 href","flex 4","text-tiers-silver-500","font-semibold 42","font-semibold 43","text-tiers-bronze-500","list-inside 4","font-semibold 44"
"https://howbazaar-images.b-cdn.net/images/skills/cf20ff77-7f51-42ca-8451-a3a1befe3d66.avif","Above the Clouds","Gold+","Stelle","","Crit","FlyingReference","","Your items have   for each Flying item you have.","»","Crit Chance","","+5%","+10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://howbazaar-images.b-cdn.net/images/skills/cf20ff77-7f51-42ca-8451-a3a1befe3d66.avif","","","","","","","","","",""
"https://howbazaar-images.b-cdn.net/images/skills/81075325-d0fd-4bbd-aa62-cc24a35fef79.avif","Acclimation","Gold+","Stelle","","DamageReference","","","Your  have   for each Flying item you have.","»","Damage","Weapons","+10","+20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://howbazaar-images.b-cdn.net/images/skills/81075325-d0fd-4bbd-aa62-cc24a35fef79.avif","","","","","","","","","",""
"https://howbazaar-images.b-cdn.net/images/skills/53aa52ea-b2b7-4b8a-8109-4f67fb4a3e29.avif","Adaptive Ordinance","Silver+","Common","","AmmoReference","Regen","","When your items run out of , gain   for the fight.","»   »","","","20","30","ammo","","Regen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://howbazaar-images.b-cdn.net/images/skills/53aa52ea-b2b7-4b8a-8109-4f67fb4a3e29.avif","","Hulking Experiment","https://www.howbazaar.gg/monsters#Hulking_Experiment","","10","","","","",""
"https://howbazaar-images.b-cdn.net/images/skills/1798b189-818a-456d-b7c5-efddf8da15c2.avif","Advanced Synthetics","Silver+","Dooley","","Level","","","When you Level Up, upgrade a lower tier item.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://howbazaar-images.b-cdn.net/images/skills/1798b189-818a-456d-b7c5-efddf8da15c2.avif","","","","","","","","","",""
"https://howbazaar-images.b-cdn.net/images/skills/9720fe19-9848-4520-ae94-e19e27b9c30f.avif","Aerial Assault","Diamond+","Common","","Charge","DamageReference","FlyingReference","When your items start Flying,  a  1 second.","","Charge","Weapon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://howbazaar-images.b-cdn.net/images/skills/9720fe19-9848-4520-ae94-e19e27b9c30f.avif","","Cloudtop Admiral","https://www.howbazaar.gg/monsters#Cloudtop_Admiral","Weapon","","","","","",""
"https://howbazaar-images.b-cdn.net/images/items/8ff354c3-1ffa-4251-9323-272f5e9f7312.avif","Alpha Ray","Silver+","Dooley","Small","Damage","Ray","Weapon","Cooldown 6 seconds","Weapons","","»   »","20","25","","Deal","","»   »","+9","+12","Damage","Your Rays have +25% .","Deadly","Shield","Crit Chance","equal to 5% of this item's","Fiery","Burn","This has double value.","Golden","an item for 3 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","This has double .","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to this item's","Restorative","Heal","equal to this item's","Shielded","This has +1 Multicast.","Shiny","Damage","equal to 5% of this item's","Toxic","Poison","an item for 3 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/8ff354c3-1ffa-4251-9323-272f5e9f7312.avif","When you use a Core or another Ray, your  gain   for the fight.","","","","15","Damage","Damage","","","Damage"
"https://howbazaar-images.b-cdn.net/images/items/809d6638-4e8e-4b14-867a-c6feccbeae9d.avif","Altimeter","Silver+","Stelle","Small","Charge","FlyingReference","Tool","Cooldown 8 seconds","","","»   »","1.5","2","","adjacent items  second(s)","","","","","","Adjacent items have +40% .","Deadly","Shield","Crit Chance","3","Fiery","Burn","This has double value.","Golden","an item for 2 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","Deal 30","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","30","Restorative","Heal","30","Shielded","This has +1 Multicast.","Shiny","","3","Toxic","Poison","an item for 2 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/809d6638-4e8e-4b14-867a-c6feccbeae9d.avif","For each adjacent Flying item, this item's Cooldown is reduced by 2 seconds.","Cloudtop Officer","https://www.howbazaar.gg/monsters#Cloudtop_Officer","","1","","","","",""
"https://howbazaar-images.b-cdn.net/images/items/d5a56d21-6892-4a08-b57a-1af53687ff37.avif","Aludel","Bronze+","Mak","Medium","Poison","PotionReference","Tool","Cooldown 7 seconds","Potion","","»   »   »","12","16","Poison","","","","","","","This has +50% .","Deadly","Shield","Crit Chance","equal to this item's","Fiery","Burn","This has double value.","Golden","an item for 1 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","Deal  equal to 5 times this item's","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to 5 times this item's","Restorative","Heal","equal to 5 times this item's","Shielded","This has +1 Multicast.","Shiny","","This has double .","Toxic","Poison","an item for 1 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/d5a56d21-6892-4a08-b57a-1af53687ff37.avif","This has +1 Multicast for each adjacent  or .","","","","8","","","4","At the start of each day, get a Catalyst.",""
"https://howbazaar-images.b-cdn.net/images/items/26ddca65-5309-4600-88f7-1eb5ffbb5788.avif","Amber","Silver+","Mak","Small","Relic","Slow","","Cooldown 6 seconds","","","»   »","2","3","Slow","item(s) for 3 second(s)","Slow","","","","","Your items have +10% .","Deadly","Shield","Crit Chance","6","Fiery","Burn","This has double value.","Golden","This  for twice as long.","Heavy","Slows","an item for 0.5 second(s)","Icy","Freeze","Deal 60","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","60","Restorative","Heal","60","Shielded","This has +1 Multicast.","Shiny","","6","Toxic","Poison","an item for 3 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/26ddca65-5309-4600-88f7-1eb5ffbb5788.avif","Your items  for 1 more second.","Wandering Shoal","https://www.howbazaar.gg/monsters#Wandering_Shoal","","1","","","","",""
"https://howbazaar-images.b-cdn.net/images/items/42f78ed2-0141-47f3-9bcd-71b433b1273b.avif","Ambergris","Bronze+","Vanessa","Small","Aquatic","Economy","Heal","Cooldown 4 seconds","Aquatic","","»   »   »","3","4","","equal to  times this item's value","","»   »   »","3","4","","This has +50% .","Deadly","Shield","Crit Chance","equal to 5% of this item's","Fiery","Burn","This has double Value.","Golden","an item for 2 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","Deal  equal to this item's","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","This has double .","Restorative","Heal","equal to this item's","Shielded","This has +1 Multicast.","Shiny","","equal to 5% of this item's","Toxic","Poison","an item for 2 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/42f78ed2-0141-47f3-9bcd-71b433b1273b.avif","When you buy another  item, this gains  Value.","","","Relic","2","Heal","Heal","1","",""
"https://howbazaar-images.b-cdn.net/images/items/20d85338-b625-4b9a-95a7-8a60805e061f.avif","Anchor","Gold+","Vanessa","Medium","Aquatic","Damage","Haste","Cooldown  seconds","","","»","12","10","","Deal  equal to  of an enemy's","","»","20%","30%","Damage","This has +50% .","Deadly","Shield","Crit Chance","equal to 5% of this item's","Fiery","Burn","This has double value.","Golden","2 items for 3 second(s)","Heavy","Slow","2 items for 1 second(s)","Icy","Freeze","This has double .","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to this item's","Restorative","Heal","equal to this item's","Shielded","This has +1 Multicast.","Shiny","Damage","equal to 5% of this item's","Toxic","Poison","1 item for 2 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/20d85338-b625-4b9a-95a7-8a60805e061f.avif","When you use an adjacent item, this is Hasted for 2 second(s).","Radiant Corsair","https://www.howbazaar.gg/monsters#Radiant_Corsair","Tool","","Damage","Damage","","","Damage"
"https://howbazaar-images.b-cdn.net/images/items/4739a012-8704-44f8-acbd-032f37c41770.avif","Anemometer","Silver+","Stelle","Medium","Flying","Haste","Tool","Cooldown  seconds","","","»   »","4","3","","An adjacent item starts Flying","","","","","","Adjacent items have +40% .","Deadly","Shield","Crit Chance","7","Fiery","Burn","This has double value.","Golden","2 items for 1 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","Deal 70","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","70","Restorative","Heal","70","Shielded","This has +1 Multicast.","Shiny","","7","Toxic","Poison","This  for twice as long.","Turbo","Hastes","https://howbazaar-images.b-cdn.net/images/items/4739a012-8704-44f8-acbd-032f37c41770.avif","When one of your items starts or stops Flying,  it for 2 seconds.","","","","5","","","","",""
"https://howbazaar-images.b-cdn.net/images/items/c8daaaa2-e652-465a-8d5b-718c33674f0c.avif","Angle Grinder Drone","Bronze+","Stelle","Small","Damage","Drone","Flying","Cooldown 5 seconds","Tool","","»   »   »","30","40","","Deal","","","","","Damage","This has +50% .","Deadly","Shield","Crit Chance","equal to 5% of this item's","Fiery","Burn","This has double value.","Golden","an item for 2 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","This has double .","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to this item's","Restorative","Heal","equal to this item's","Shielded","This has +1 Multicast.","Shiny","Damage","equal to 5% of this item's","Toxic","Poison","an item for 2 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/c8daaaa2-e652-465a-8d5b-718c33674f0c.avif","A  or Drone starts Flying","","","Tool","20","Damage","Damage","10","","Damage"
"https://howbazaar-images.b-cdn.net/images/items/84650135-9f2d-4ee6-b1e5-a011a256ce0d.avif","Angry Balloon Bot","Gold+","Dooley","Medium","Damage","Friend","ShieldReference","Cooldown  seconds","","Shield","»","7","6","Shield","Deal 10","","","","","Damage","This has +50% .","Deadly","Shield","Crit Chance","equal to 5% of this item's","Fiery","Burn","This has double value.","Golden","2 items for 2 second(s)","Heavy","Slow","an item for 1 second(s)","Icy","Freeze","This has double .","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to this item's","Restorative","Heal","equal to this item's","Shielded","This has +1 Multicast.","Shiny","Damage","equal to 5% of this item's","Toxic","Poison","2 items for 2 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/84650135-9f2d-4ee6-b1e5-a011a256ce0d.avif","When you lose , this gains  equal to the  lost.","","","Weapon","","Damage","Damage","","","Damage"
"https://howbazaar-images.b-cdn.net/images/items/405245d8-b81d-4015-8ed9-70e80f5eb980.avif","Antimatter Chamber","Gold+","Dooley","Large","Tech","TechReference","","Cooldown  seconds","","","»","30","24","","Destroy this","","","","","","When this is Destroyed, your items gain +100%  for the fight.","Deadly","Shield","Crit Chance","When this is Destroyed,  100.","Fiery","Burn","This has double value.","Golden","When this is Destroyed,  6 items for 4 second(s).","Heavy","Slow","When this is Destroyed,  3 items for 4 second(s).","Icy","Freeze","When this is Destroyed, deal 1000 .","Obsidian","Damage","This item is immune to  and .","Radiant","Freeze","Slow","When this is Destroyed,  1000.","Restorative","Heal","When this is Destroyed,  1000.","Shielded","This item's Cooldown is halved.","Shiny","","When this is Destroyed,  100.","Toxic","Poison","When this is Destroyed,  6 items for 4 second(s).","Turbo","Haste","","When this is Destroyed, destroy 3 enemy items for the fight.","","","","","","","","When you use another Tech,  this 2 second(s).",""
"https://howbazaar-images.b-cdn.net/images/items/9bf2d4d3-d753-4419-8f6f-d56686e967b8.avif","Apothecary","Silver+","Mak","Large","BurnReference","HasteReference","PoisonReference","Cooldown 5 seconds","Reagent","Regen","»   »","16","24","","Gain   for the fight","Slow","","","","","This has +50% .","Deadly","Shield","Crit Chance","equal to this item's","Fiery","Burn","This has double value.","Golden","2 items for 1 second(s)","Heavy","Slow","an item for 1 second(s)","Icy","Freeze","Deal  equal to 5 times this item's","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to 5 times this item's","Restorative","Regen","equal to 5 times this item's","Shielded","This has +1 Multicast.","Shiny","","equal to this item's","Toxic","Poison","2 items for 1 second(s)","Turbo","Haste","","When you , , , or ,  this 1 second(s).","","","Property","8","Regen","Regen","","At the start of each day, get a .",""
"https://howbazaar-images.b-cdn.net/images/items/825700a8-f21b-4867-ad08-d752f13a51ab.avif","Apron","Bronze+","Jules","Medium","Apparel","Shield","Tool","Cooldown 7 seconds","","Shield","»   »   »","+30","+40","Shield","Gain 20","","","","","","This has +50% .","Deadly","Shield","Crit Chance","equal to 5% of this item's","Fiery","Burn","This has double value.","Golden","2 items for 2 second(s)","Heavy","Slow","an item for 1 second(s)","Icy","Freeze","Deal  equal to this item's","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to this item's","Restorative","Heal","This has double .","Shielded","This has +1 Multicast.","Shiny","","equal to 5% of this item's","Toxic","Poison","2 items for 2 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/825700a8-f21b-4867-ad08-d752f13a51ab.avif","When you buy a Food, this gains","","","","+20","","","+10","",""
"https://howbazaar-images.b-cdn.net/images/items/2abed747-432d-4307-98ce-0a0ec244d904.avif","Apropos Chapeau","Silver+","Pygmalien","Medium","Apparel","DamageReference","HealReference","Cooldown 7 seconds","Weapons","Shield","»   »","9","12","Shield","Your  gain   for the fight","Property","»   »","9","12","Damage","Your items gain 3%  for the fight","Deadly","Shield","Crit Chance","Your  items gain +1  for the fight","Fiery","Burn","This has double value.","Golden","an item for 1 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","This has double  gain.","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","This has double  gain.","Restorative","Heal","This has double  gain.","Shielded","This has +1 Multicast.","Shiny","","Your  items gain +1  for the fight","Toxic","Poison","an item for 1 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/2abed747-432d-4307-98ce-0a0ec244d904.avif","Your  items gain   for the fight","","","ShieldReference","6","","","","Your  items gain   for the fight",""
"https://howbazaar-images.b-cdn.net/images/items/214d9c9d-d222-4afa-b63e-ca028c859647.avif","Arbalest","Silver+","Vanessa","Medium","Ammo","Damage","HasteReference","Cooldown 9 seconds","","","»   »","75","100","","1","","","","","Damage","This has +50% .","Deadly","Shield","Crit Chance","equal to 5% of this item's","Fiery","Burn","This has double value.","Golden","2 items for 3 second(s)","Heavy","Slow","2 items for 1 second(s)","Icy","Freeze","This has double .","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to this item's","Restorative","Heal","equal to this item's","Shielded","This has +1 Multicast.","Shiny","Damage","equal to 5% of this item's","Toxic","Poison","2 items for 3 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/214d9c9d-d222-4afa-b63e-ca028c859647.avif","Deal 100","","","Weapon","50","Damage","Damage","","When you , this gains   for the fight.","Damage"
"https://howbazaar-images.b-cdn.net/images/items/aaa7d8fc-dd1b-42b3-9ea0-3b982f2f3790.avif","Arc Blaster","Bronze+","Dooley","Small","Damage","Tech","TechReference","Cooldown 6 seconds","","","»   »   »","45","60","","Deal","","","","","Damage","This has +50% .","Deadly","Shield","Crit Chance","equal to 5% of this item's","Fiery","Burn","This has double value.","Golden","an item for 2 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","This has double .","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to this item's","Restorative","Heal","equal to this item's","Shielded","This has +1 Multicast.","Shiny","Damage","equal to 5% of this item's","Toxic","Poison","an item for 2 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/aaa7d8fc-dd1b-42b3-9ea0-3b982f2f3790.avif","When you use another Tech,  this 1 second(s).","","","Weapon","30","Damage","Damage","15","","Damage"
